Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
log-sigma-3-0-mm-3D,glcm,MCC,0.767859039,0.610077068,0.916662562
log-sigma-3-0-mm-3D,glcm,MaximumProbability,0.359931727,0.330023196,0.295787546
log-sigma-3-0-mm-3D,glcm,SumAverage,3.84340281,5.05422546,6.392857143
log-sigma-3-0-mm-3D,glcm,SumEntropy,1.215673586,1.807451669,1.343687329
log-sigma-3-0-mm-3D,glcm,SumSquares,0.688799084,0.499878193,1.515194379
log-sigma-3-0-mm-3D,gldm,DependenceEntropy,3.737937817,3.810375398,2.918295834
log-sigma-3-0-mm-3D,gldm,DependenceNonUniformity,7.80952381,12.38888889,3.833333333
log-sigma-3-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.185941043,0.172067901,0.319444444
log-sigma-3-0-mm-3D,gldm,DependenceVariance,2.721088435,3.048611111,1.416666667
log-sigma-3-0-mm-3D,gldm,GrayLevelNonUniformity,17,26.80555556,3.833333333
log-sigma-3-0-mm-3D,gldm,GrayLevelVariance,0.447278912,0.553819444,1.222222222
log-sigma-3-0-mm-3D,gldm,HighGrayLevelEmphasis,4.166666667,5.069444444,12.33333333
log-sigma-3-0-mm-3D,gldm,LargeDependenceEmphasis,22.33333333,18.38888889,7.666666667
log-sigma-3-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,80.11904762,118.2638889,109.5
log-sigma-3-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,9.632936508,4.334490741,0.712824074
log-sigma-3-0-mm-3D,gldm,LowGrayLevelEmphasis,0.419973545,0.353973765,0.178101852
log-sigma-3-0-mm-3D,gldm,SmallDependenceEmphasis,0.093398864,0.145608741,0.314675926
log-sigma-3-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,0.544168151,0.556090758,3.743148148
log-sigma-3-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.030126001,0.073254725,0.105755208
log-sigma-3-0-mm-3D,glrlm,GrayLevelNonUniformity,14.49579493,24.02770404,3.503729604
log-sigma-3-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.393811829,0.374873342,0.307905747
log-sigma-3-0-mm-3D,glrlm,GrayLevelVariance,0.469688906,0.55969349,1.266732908
log-sigma-3-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,4.272023955,4.939590217,12.21538462
log-sigma-3-0-mm-3D,glrlm,LongRunEmphasis,1.932830302,1.684132992,1.238073038
log-sigma-3-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,7.72458262,8.80829003,15.56814297
