Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
original,glszm,GrayLevelNonUniformityNormalized,0.273106576,0.242514141,0.148986028,0.095
original,glszm,GrayLevelVariance,1.228480726,1.419326767,3.684035664,47.6875
original,glszm,HighGrayLevelZoneEmphasis,17.3047619,13.51572327,25.61189802,174.25
original,glszm,LargeAreaEmphasis,50.47619048,528.0377358,156.0056657,1.6
original,glszm,LargeAreaHighGrayLevelEmphasis,815.352381,4839.069182,2208.093484,257.95
original,glszm,LargeAreaLowGrayLevelEmphasis,3.233266453,58.19078,12.32293699,0.090769435
original,glszm,LowGrayLevelZoneEmphasis,0.092195025,0.130006061,0.086247113,0.078722792
original,glszm,SizeZoneNonUniformity,35.83809524,54.35849057,121.9631728,13.6
original,glszm,SizeZoneNonUniformityNormalized,0.341315193,0.341877299,0.345504739,0.68
original,glszm,SmallAreaEmphasis,0.597040157,0.600789142,0.605389396,0.85
original,glszm,SmallAreaHighGrayLevelEmphasis,10.71463713,8.534381053,17.45975901,153.325
original,glszm,SmallAreaLowGrayLevelEmphasis,0.060399675,0.08782203,0.053688999,0.075711132
original,glszm,ZoneEntropy,3.910493234,4.236085472,4.935022172,3.921928095
original,glszm,ZonePercentage,0.364583333,0.228448276,0.264221557,0.833333333
original,glszm,ZoneVariance,42.95292517,508.8764685,141.6816923,0.16
original,ngtdm,Busyness,1.011230114,3.341517373,4.669707836,0.111536807
original,ngtdm,Coarseness,0.022264044,0.009890247,0.004588012,0.076738804
original,ngtdm,Complexity,15.55651147,10.25317098,37.64458961,695.9070698
original,ngtdm,Contrast,0.014243302,0.012898412,0.036656082,3.034812745
original,ngtdm,Strength,0.625260755,0.210967184,0.20730454,20.02103204
log-sigma-1-0-mm-3D,firstorder,10Percentile,16.48804245,3.004135251,-2.505567193,-193.7310272
log-sigma-1-0-mm-3D,firstorder,90Percentile,82.90340729,68.80901718,54.79919434,-8.479088974
log-sigma-1-0-mm-3D,firstorder,Energy,1009434.503,1486665.734,1858851.502,492826.155
log-sigma-1-0-mm-3D,firstorder,Entropy,2.078152268,2.08702655,1.997516726,3.053508855
