Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_Calcium
log-sigma-3-0-mm-3D,glcm,SumAverage,18.14380305,38.67069188,38.88243673,
log-sigma-3-0-mm-3D,glcm,SumEntropy,3.443521405,3.664607809,5.781222141,
log-sigma-3-0-mm-3D,glcm,SumSquares,3.767286358,7.818361521,60.80438312,
log-sigma-3-0-mm-3D,gldm,DependenceEntropy,5.272072322,5.105474822,6.854842944,
log-sigma-3-0-mm-3D,gldm,DependenceNonUniformity,38.31067961,64.53956835,167.628169,
log-sigma-3-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.185974173,0.232156721,0.236096013,
log-sigma-3-0-mm-3D,gldm,DependenceVariance,2.533320765,1.638165726,1.673802817,
log-sigma-3-0-mm-3D,gldm,GrayLevelNonUniformity,30.17475728,40.70503597,26.97464789,
log-sigma-3-0-mm-3D,gldm,GrayLevelVariance,4.704873221,10.34927022,60.91427098,
log-sigma-3-0-mm-3D,gldm,HighGrayLevelEmphasis,83.62135922,368.2122302,517.0676056,
log-sigma-3-0-mm-3D,gldm,LargeDependenceEmphasis,13.04854369,7.978417266,8.433802817,
log-sigma-3-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,1153.009709,3152.68705,4397.304225,
log-sigma-3-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,0.18929455,0.025646799,0.080406776,
log-sigma-3-0-mm-3D,gldm,LowGrayLevelEmphasis,0.021553366,0.007372498,0.008298599,
log-sigma-3-0-mm-3D,gldm,SmallDependenceEmphasis,0.227808964,0.358750938,0.32315388,
