"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"original","glszm","LargeAreaHighGrayLevelEmphasis","3460.1812865497077","587.1370558375635","","1652.4875444839859"
"original","glszm","LargeAreaLowGrayLevelEmphasis","5.134563265527133","6.625619669187472","","4.6771839283360634"
"original","glszm","LowGrayLevelZoneEmphasis","0.05365482710303095","0.14356383162402017","","0.04760949684341906"
"original","glszm","SizeZoneNonUniformity","42.36842105263158","72.22842639593908","","122.70818505338079"
"original","glszm","SizeZoneNonUniformityNormalized","0.24776854416743613","0.3666417583550207","","0.4366839325743088"
"original","glszm","SmallAreaEmphasis","0.4995440466072205","0.6249355032189323","","0.6869745499487605"
"original","glszm","SmallAreaHighGrayLevelEmphasis","20.557277536952846","7.567030860273839","","25.814837989649313"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.021775129052884593","0.0983653018444315","","0.03368152855187519"
"original","glszm","ZoneEntropy","4.952591711444043","4.03784418840087","","4.546931219393436"
"original","glszm","ZonePercentage","0.2159090909090909","0.34683098591549294","","0.31931818181818183"
"original","glszm","ZoneVariance","106.51338873499537","52.499059496508536","","75.48088296754094"
"original","ngtdm","Busyness","2.003722915122636","3.3418132004647494","","2.696777138688125"
"original","ngtdm","Coarseness","0.008684072247250846","0.010692476671946383","","0.00639257597275967"
"original","ngtdm","Complexity","25.50734126584948","13.119128475280972","","37.050189261510205"
"original","ngtdm","Contrast","0.031114408756575604","0.01929887794270446","","0.036622306804516204"
"original","ngtdm","Strength","0.2420459567907679","0.22069470947647726","","0.26961945333633186"
"log-sigma-1-0-mm-3D","firstorder","10Percentile","38.34411201477051","13.089882183074952","","-9.787635707855225"
"log-sigma-1-0-mm-3D","firstorder","90Percentile","90.57895584106446","77.45031661987306","","57.02963447570801"
"log-sigma-1-0-mm-3D","firstorder","Energy","3663908.659048356","1611584.0658410056","","1261283.718853094"
"log-sigma-1-0-mm-3D","firstorder","Entropy","1.861871970236961","2.0566487145568155","","2.164832306080954"
"log-sigma-1-0-mm-3D","firstorder","InterquartileRange","28.92918300628662","29.591753005981445","","36.616246461868286"
"log-sigma-1-0-mm-3D","firstorder","Kurtosis","2.826738004487198","2.99844151596209","","2.877667606838493"
"log-sigma-1-0-mm-3D","firstorder","Maximum","116.73077392578125","105.4147720336914","","94.30987548828125"
"log-sigma-1-0-mm-3D","firstorder","MeanAbsoluteDeviation","16.72591109409869","19.029301713919313","","21.272025250070843"
"log-sigma-1-0-mm-3D","firstorder","Mean","64.76554701093471","47.50171535955349","","27.25429616258903"
"log-sigma-1-0-mm-3D","firstorder","Median","66.14006042480469","50.579864501953125","","30.108656883239746"
