"Image type","Feature Class","Feature Name","Segmentation_segment_IPH_lipid","Segmentation_segment_Fibrous","Segmentation_segment_Calcium","Segmentation_segment_IPH"
"original","glrlm","HighGrayLevelRunEmphasis","5.633453356510979","12.416110746962888","715.8058405589054","2.5612244897959187"
"original","glrlm","LongRunEmphasis","1.5993534157142852","1.239787821196244","1.0406152773983346","1.4081632653061225"
"original","glrlm","LongRunHighGrayLevelEmphasis","8.281334072669754","14.382383547851818","755.0232046426008","3.397959183673469"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.4012002101282795","0.22105507376244465","0.017438168632351668","0.9107142857142857"
"original","glrlm","LowGrayLevelRunEmphasis","0.25831927434697577","0.17864239943493884","0.017192212851584947","0.6096938775510203"
"original","glrlm","RunEntropy","1.9183838295678735","2.668504040534274","5.494180970640678","1.370594093583046"
"original","glrlm","RunLengthNonUniformity","89.69991015405026","198.63595609826578","222.89721418632703","5.891156462585035"
"original","glrlm","RunLengthNonUniformityNormalized","0.7845478700493357","0.9122150820528128","0.9734895190535499","0.8030450275348234"
"original","glrlm","RunPercentage","0.8674556213017752","0.9431438127090301","0.9867374005305041","0.8928571428571429"
"original","glrlm","RunVariance","0.23167136507817998","0.10433362181640918","0.013255240473225112","0.09847748623258827"
"original","glrlm","ShortRunEmphasis","0.9017811652084204","0.9631822649486388","0.9898461806504163","0.8979591836734694"
"original","glrlm","ShortRunHighGrayLevelEmphasis","5.190029535318304","12.069204763128749","706.0014995379817","2.352040816326531"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.23516869014981306","0.17276815894692468","0.017130723906393263","0.5344387755102041"
"original","glszm","GrayLevelNonUniformity","12.052631578947368","22.983739837398375","4.824742268041237","1.6666666666666667"
"original","glszm","GrayLevelNonUniformityNormalized","0.3171745152354571","0.18685967347478352","0.0248698055053672","0.5555555555555556"
"original","glszm","GrayLevelVariance","0.92797783933518","2.407826029479807","156.38516314167282","0.2222222222222222"
"original","glszm","HighGrayLevelZoneEmphasis","6.7894736842105265","14.178861788617887","677.8247422680413","3.0"
"original","glszm","LargeAreaEmphasis","68.52631578947368","9.121951219512194","1.6391752577319587","8.0"
"original","glszm","LargeAreaHighGrayLevelEmphasis","294.6578947368421","71.91056910569105","1284.9123711340205","16.0"
"original","glszm","LargeAreaLowGrayLevelEmphasis","16.718523391812866","1.7609915680364288","0.02297916827089229","6.0"
"original","glszm","LowGrayLevelZoneEmphasis","0.33036549707602336","0.19382036622236973","0.019149719807322503","0.5"
"original","glszm","SizeZoneNonUniformity","19.842105263157894","59.24390243902439","137.7835051546392","1.6666666666666667"
"original","glszm","SizeZoneNonUniformityNormalized","0.5221606648199446","0.48165774340670237","0.7102242533744287","0.5555555555555556"
"original","glszm","SmallAreaEmphasis","0.7440997210287624","0.7190731749067942","0.8688430698739976","0.1875"
"original","glszm","SmallAreaHighGrayLevelEmphasis","5.191530463062418","10.542811662903544","559.6897193585338","0.6875"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.28234437470163504","0.1538759089950281","0.01826625281708957","0.0625"
"original","glszm","ZoneEntropy","3.0632025132158476","3.9876361465169436","5.958423557010505","0.9182958340544889"
"original","glszm","ZonePercentage","0.2923076923076923","0.5347826086956522","0.8362068965517241","0.375"
"original","glszm","ZoneVariance","56.822714681440445","5.625355277943024","0.20905515995323626","0.8888888888888888"
"original","ngtdm","Busyness","1.7050105374840046","2.2623947892666534","0.055120881236878125","1.9333333333333333"
"original","ngtdm","Coarseness","0.04495628719652151","0.019618329999351657","0.02167116980858548","0.5172413793103449"
"original","ngtdm","Complexity","5.59157060382354","31.559054492663506","7731.5157573229235","0.48333333333333334"
"original","ngtdm","Contrast","0.020502720044583953","0.07852903009921688","1.0832227713194524","0.12083333333333333"
"original","ngtdm","Strength","0.43043321201575174","0.5198991245759327","20.708078281272485","0.5172413793103449"
"log-sigma-1-0-mm-3D","firstorder","10Percentile","16.220063781738283","-11.160883140563964","-487.75563659667966","32.3820686340332"
"log-sigma-1-0-mm-3D","firstorder","90Percentile","50.84868583679201","61.193121337890624","-23.090532302856445","63.47036437988281"
"log-sigma-1-0-mm-3D","firstorder","Energy","207207.4842057232","312910.9641164942","19746518.710743215","17910.24463817863"
"log-sigma-1-0-mm-3D","firstorder","Entropy","1.5182281745125001","2.1951883994527783","4.648593584159811","0.8112781244591322"
"log-sigma-1-0-mm-3D","firstorder","InterquartileRange","16.02933406829834","32.37949025630951","288.66111946105957","12.394169807434082"
"log-sigma-1-0-mm-3D","firstorder","Kurtosis","15.35768066690339","5.107707157796795","2.267108871678403","2.0189313790299863"
"log-sigma-1-0-mm-3D","firstorder","Maximum","148.93673706054688","143.80702209472656","94.20577239990234","64.88787078857422"
"log-sigma-1-0-mm-3D","firstorder","MeanAbsoluteDeviation","12.831303014332022","22.460756610444907","146.4296960733946","9.522562503814697"
"log-sigma-1-0-mm-3D","firstorder","Mean","33.6030937396563","21.15587934644326","-234.15590864625472","45.78539991378784"
"log-sigma-1-0-mm-3D","firstorder","Median","30.704916954040527","17.44723129272461","-226.1669692993164","44.62936782836914"
"log-sigma-1-0-mm-3D","firstorder","Minimum","-2.6605138778686523","-42.08686065673828","-666.57373046875","28.494529724121094"
"log-sigma-1-0-mm-3D","firstorder","Range","151.59725093841553","185.89388275146484","760.7795028686523","36.393341064453125"
"log-sigma-1-0-mm-3D","firstorder","RobustMeanAbsoluteDeviation","6.8917403771327095","14.28075791142233","110.41449957736724","6.631193161010742"
"log-sigma-1-0-mm-3D","firstorder","RootMeanSquared","39.92372383257114","36.88471841671574","291.7435599763708","47.31575403364432"
"log-sigma-1-0-mm-3D","firstorder","Skewness","2.9937004817679407","1.1445491300561625","-0.3769634865193123","0.36241639309391604"
"log-sigma-1-0-mm-3D","firstorder","TotalEnergy","207207.4842057232","312910.9641164942","19746518.710743215","17910.24463817863"
"log-sigma-1-0-mm-3D","firstorder","Uniformity","0.42272189349112427","0.26937618147448017","0.04418103448275864","0.625"
"log-sigma-1-0-mm-3D","firstorder","Variance","464.7358157832806","912.911221759145","30285.31523373309","142.47773450684485"
